City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
231,port lincoln,-34.7333,135.8667,27.94,47,0,2.88,AU,1675914780
232,aguimes,27.9054,-15.4461,13.35,77,75,2.68,ES,1675914894
233,raga,8.4596,25.678,16.08,19,19,1.91,SS,1675914894
234,melton,-37.6833,144.5833,31.96,45,5,4.32,AU,1675914894
235,vyartsilya,62.1764,30.693,1.2,89,100,6.48,RU,1675914895
236,asau,46.4333,26.4,-15.4,87,10,2.17,RO,1675914895
237,kemijarvi,66.7131,27.4306,0.65,89,100,10.15,FI,1675914895
238,bafoulabe,13.8065,-10.8321,25.65,15,0,2.17,ML,1675914896
239,kharp,66.8014,65.8081,-13.64,88,21,5.19,RU,1675914896
240,la paz,-16.5,-68.15,6.99,100,75,2.57,BO,1675914565
241,hammerfest,70.6634,23.6821,-0.75,100,75,3.6,NO,1675914896
242,faanui,-16.4833,-151.75,27.38,71,9,3.15,PF,1675914897
243,ust-maya,60.4167,134.5333,-31.92,93,99,0.95,RU,1675914897
244,karratha,-20.7377,116.8463,34.69,46,0,5.38,AU,1675914897
245,souillac,-20.5167,57.5167,26.21,83,75,5.14,MU,1675914897
246,letlhakeng,-24.0944,25.0298,18.28,90,100,2.35,BW,1675914898
247,coolum beach,-26.5333,153.1,27.84,67,99,6.25,AU,1675914898
248,viesca,25.35,-102.8,11.86,25,0,1.87,MX,1675914898
249,tautira,-17.7333,-149.15,26.85,74,4,2.97,PF,1675914898
250,lorengau,-2.0226,147.2712,28.72,67,100,4.53,PG,1675914763
251,telimele,10.9167,-13.3333,18.2,71,1,1.06,GN,1675914899
252,nova olimpia,-14.7972,-57.2881,22.53,94,100,1.03,BR,1675914899
253,shelburne,44.0787,-80.2041,0.25,96,100,2.1,CA,1675914899
254,nanzhang,31.7765,111.8386,5.16,92,100,2.71,CN,1675914900
255,podujevo,42.9106,21.1931,-8.11,90,7,1.81,XK,1675914900
256,richards bay,-28.783,32.0377,22.18,89,100,4.59,ZA,1675914717
257,vanavara,60.34,102.2797,-13.3,93,100,1.92,RU,1675914648
258,carrollton,32.9537,-96.8903,6.26,87,0,4.12,US,1675914105
259,zhuanghe,39.7008,122.9911,1.18,31,100,2.41,CN,1675914900
260,valparaiso,-33.0393,-71.6273,16.8,88,100,0.51,CL,1675914901
261,abiramam,9.4667,78.45,25.81,70,84,3.01,IN,1675914901
262,haines junction,60.7522,-137.5108,-7.03,68,60,2.57,CA,1675914902
263,vila velha,-20.3297,-40.2925,25.97,85,40,2.06,BR,1675914902
264,taldan,53.6667,124.8,-19.1,88,100,1.59,RU,1675914903
265,bilma,18.6853,12.9164,17.88,19,0,3.37,NE,1675914862
266,franklin,39.9667,-83.0166,7.89,82,100,2.57,US,1675914905
267,klaksvik,62.2266,-6.589,2.51,69,86,19.74,FO,1675914894
268,smolenka,52.1352,113.4974,-17.81,71,97,0.0,RU,1675914906
269,sabha,27.0377,14.4283,10.36,45,22,6.45,LY,1675914907
270,bukama,-9.2,25.85,19.12,95,86,0.24,CD,1675914907
271,sinop,41.7711,34.8709,-4.01,95,99,1.63,TR,1675914907
272,motril,36.7507,-3.5179,11.26,79,51,1.53,ES,1675914908
273,beringovskiy,63.05,179.3167,-31.46,93,22,2.37,RU,1675914909
274,ust-nera,64.5667,143.2,-35.57,95,87,0.69,RU,1675914909
275,cidreira,-30.1811,-50.2056,24.49,83,24,8.46,BR,1675914909
276,ulety,51.3572,112.4849,-10.91,81,87,1.14,RU,1675914910
277,grindavik,63.8424,-22.4338,-4.03,74,75,10.8,IS,1675914910
278,tecolutla,20.4833,-97.0167,22.46,92,13,4.13,MX,1675914911
279,walvis bay,-22.9575,14.5053,17.83,88,60,2.59,NA,1675914911
280,orlik,52.5178,99.825,-15.95,92,100,0.49,RU,1675914911
281,pisco,-13.7,-76.2167,22.03,88,0,5.66,PE,1675914912
282,kuching,1.55,110.3333,30.03,77,40,1.03,MY,1675914912
283,norman wells,65.282,-126.8329,-24.98,77,75,0.0,CA,1675914697
284,opuwo,-18.0607,13.84,17.66,42,51,1.66,NA,1675914913
285,beckley,37.7782,-81.1882,13.23,80,100,4.12,US,1675914914
286,severo-yeniseyskiy,60.3725,93.0408,-18.82,96,97,1.56,RU,1675914914
287,salta,-24.7859,-65.4117,22.33,71,75,1.54,AR,1675914915
288,santa rosa,14.3122,121.1114,30.06,63,100,6.88,PH,1675914915
289,te anau,-45.4167,167.7167,15.83,38,41,1.38,NZ,1675914916
290,castro,-24.7911,-50.0119,16.21,95,12,2.39,BR,1675914888
291,qaqortoq,60.7167,-46.0333,-4.67,89,100,4.25,GL,1675914917
292,zhigalovo,54.8097,105.1578,-11.29,94,100,0.5,RU,1675914918
293,qinnan,33.2531,119.9133,5.28,88,100,5.44,CN,1675914918
294,juneau,58.3019,-134.4197,1.79,94,75,3.6,US,1675914919
295,talnakh,69.4865,88.3972,-19.33,95,100,4.08,RU,1675914891
296,ploemeur,47.7333,-3.4333,3.23,87,100,1.03,FR,1675914919
297,gat,31.61,34.7642,8.0,100,77,2.46,IL,1675914843
298,neuquen,-38.9516,-68.0591,27.94,36,0,1.03,AR,1675914626
299,sunel,24.3667,75.9667,21.54,26,0,1.7,IN,1675914920
300,birjand,32.8663,59.2211,6.26,39,75,4.12,IR,1675914921
301,kutum,14.2,24.6667,10.25,20,24,2.93,SD,1675914922
302,carnarvon,-24.8667,113.6333,30.79,53,63,6.73,AU,1675914895
303,christchurch,-43.5333,172.6333,18.11,55,40,7.2,NZ,1675914885
304,cherskiy,68.75,161.3,-35.19,98,100,3.2,RU,1675914880
305,kavaratti,10.5669,72.642,26.36,70,100,1.73,IN,1675914927
306,kahului,20.8947,-156.47,24.36,70,20,8.05,US,1675914657
307,havelock,34.8791,-76.9013,14.97,85,0,0.0,US,1675914785
308,phan thiet,10.9333,108.1,30.26,55,15,7.34,VN,1675914931
309,kollam,8.8833,76.6,26.47,64,30,1.61,IN,1675914932
310,lagos,6.5833,3.75,26.18,92,20,1.25,NG,1675914609
311,makakilo city,21.3469,-158.0858,25.18,57,0,6.17,US,1675914933
312,chicama,-7.8447,-79.1469,21.3,78,50,1.95,PE,1675914933
313,fallon,39.4735,-118.7774,5.93,61,20,2.57,US,1675914933
314,thinadhoo,0.5333,72.9333,27.32,72,100,3.0,MV,1675914934
315,axim,4.8699,-2.2405,25.49,88,68,2.12,GH,1675914934
316,umm lajj,25.0213,37.2685,17.31,44,100,6.84,SA,1675914893
317,oxapampa,-10.5775,-75.4017,15.24,97,82,0.72,PE,1675914934
318,clyde river,70.4692,-68.5914,-35.87,68,75,2.57,CA,1675914935
319,eirunepe,-6.6603,-69.8736,21.45,99,99,0.96,BR,1675914674
320,puerto del rosario,28.5004,-13.8627,12.86,82,0,2.06,ES,1675914935
321,coihaique,-45.5752,-72.0662,17.97,63,0,1.54,CL,1675914935
322,wau,7.7029,27.9953,19.34,21,31,2.35,SS,1675914936
323,synya,65.3718,58.0387,-4.95,93,100,4.06,RU,1675914936
324,nueva concepcion,14.2,-91.3,23.46,76,42,1.61,GT,1675914936
325,hit,33.6416,42.8251,4.33,51,0,3.82,IQ,1675914937
326,udachnyy,66.4167,112.4,-34.2,66,95,2.26,RU,1675914937
327,aklavik,68.2191,-135.0107,-34.01,99,95,1.53,CA,1675914883
328,superior,46.7208,-92.1041,2.49,88,100,2.57,US,1675914937
329,solton,52.8429,86.4787,-13.22,94,96,0.82,RU,1675914938
330,shu,43.5983,73.7614,-0.07,95,100,2.6,KZ,1675914938
331,talcahuano,-36.7167,-73.1167,15.82,88,0,2.06,CL,1675914886
332,yangjiang,21.85,111.9667,20.99,84,100,4.23,CN,1675914938
333,olinda,-8.0089,-34.8553,26.85,74,40,2.06,BR,1675914939
334,comarapa,-17.9,-64.4833,12.61,89,98,0.97,BO,1675914939
335,kysyl-syr,63.8986,122.7617,-38.62,95,77,1.69,RU,1675914939
336,gamba,-2.65,10.0,25.07,90,33,2.81,GA,1675914940
337,flin flon,54.7682,-101.865,-18.49,98,27,2.38,CA,1675914940
338,colesberg,-30.72,25.0972,15.6,77,88,4.81,ZA,1675914940
339,faya,18.3851,42.4509,8.29,60,39,1.73,SA,1675914940
340,port alberni,49.2413,-124.8028,6.91,94,100,0.45,CA,1675914859
341,mount gambier,-37.8333,140.7667,26.15,35,0,3.58,AU,1675914803
342,vuktyl,63.8567,57.3094,-4.11,84,95,5.97,RU,1675914941
343,aracati,-4.5617,-37.7697,25.61,81,22,4.11,BR,1675914941
344,praia,14.9215,-23.5087,20.3,77,75,5.66,CV,1675914645
345,general pico,-35.6566,-63.7568,24.96,44,0,3.36,AR,1675914683
346,beyneu,45.3167,55.2,-8.98,70,2,3.83,KZ,1675914942
347,teacapan,22.55,-105.75,17.83,78,1,2.56,MX,1675914942
348,oktyabrskoye,43.0645,44.7417,-10.92,92,100,1.0,RU,1675914942
349,pankovka,58.5,31.1999,-0.65,95,100,4.34,RU,1675914942
350,merritt island,28.5392,-80.672,21.67,79,75,2.57,US,1675914943
351,la primavera,5.4906,-70.4092,26.53,59,61,2.25,CO,1675914943
352,kualakapuas,-3.0091,114.3876,32.8,55,86,1.35,ID,1675914943
353,namatanai,-3.6667,152.4333,28.25,72,98,3.14,PG,1675914875
354,puerto escondido,15.85,-97.0667,24.83,64,0,2.43,MX,1675914944
355,dolores,-36.3132,-57.6792,20.13,90,1,2.99,AR,1675914944
356,conceicao do araguaia,-8.2578,-49.2647,22.58,95,40,1.37,BR,1675914944
